win_probability,pot_odds,street,stack_to_pot,opponent_bet_ratio,players_left,action,won_hand
0.52,0.2,3,12.125,0.25,2,call,False
0.3,0.4,0,66.66666666666667,0.6666666666666666,3,fold,False
0.66,0.25,0,66.33333333333333,0.3333333333333333,2,raise,False
0.56,0.3333333333333333,0,24.75,0.5,2,call,True
0.54,0.0,1,16.166666666666668,0.0,2,call,False
0.98,0.0,1,16.166666666666668,0.0,2,raise,True
0.4,0.470873786407767,1,1.7798165137614679,0.8899082568807339,2,fold,False
0.22,0.4,0,66.66666666666667,0.6666666666666666,3,fold,False
0.56,0.25,0,66.33333333333333,0.3333333333333333,2,call,True
0.38,0.0,0,49.5,0.0,2,call,False
0.9,0.0,1,49.5,0.0,2,raise,True
0.34,0.4900990099009901,1,1.9223300970873787,0.9611650485436893,2,fold,False
0.3,0.4,0,66.66666666666667,0.6666666666666666,3,fold,False
0.52,0.25,0,66.33333333333333,0.3333333333333333,2,call,True
0.48,0.0,0,49.5,0.0,2,call,False
0.54,0.0,1,49.5,0.0,2,call,True
0.28,0.0,1,49.5,0.0,2,call,False
0.9,0.0,2,49.5,0.0,2,raise,True
0.24,0.25,2,33.0,0.3333333333333333,2,fold,False
0.24,0.4,0,66.66666666666667,0.6666666666666666,3,fold,False
0.4,0.25,0,66.33333333333333,0.3333333333333333,2,call,False
0.3,0.0,0,49.5,0.0,2,call,True
0.46,0.0,1,49.5,0.0,2,call,False
0.16,0.0,1,49.5,0.0,2,call,True
0.26,0.0,2,49.5,0.0,2,call,False
0.12,0.0,2,49.5,0.0,2,call,True
0.04,0.0,3,49.5,0.0,2,call,False
0.66,0.0,3,49.5,0.0,2,raise,True
0.02,0.3333333333333333,3,24.75,0.5,2,fold,False
0.34,0.4,0,66.66666666666667,0.6666666666666666,3,fold,False
0.48,0.25,0,66.33333333333333,0.3333333333333333,2,call,False
0.7,0.0,0,49.5,0.0,2,raise,True
0.34,0.3333333333333333,0,24.75,0.5,2,call,False
0.18,0.0,1,16.166666666666668,0.0,2,call,False
0.76,0.0,1,16.166666666666668,0.0,2,raise,True
0.22,0.25,1,10.777777777777779,0.3333333333333333,2,fold,False
0.16,0.4,0,66.66666666666667,0.6666666666666666,3,fold,False
0.6,0.25,0,66.33333333333333,0.3333333333333333,2,call,False
0.44,0.0,0,49.5,0.0,2,call,True
0.46,0.0,1,49.5,0.0,2,call,False
0.94,0.0,1,49.5,0.0,2,raise,True
0.5,0.4900990099009901,1,1.9223300970873787,0.9611650485436893,2,call,False
0.84,0.0,2,0.4900990099009901,0.0,2,raise,False
0.98,0.2475,2,0.3289036544850498,0.3289036544850498,2,raise,True
0.88,0.0,3,0.0,0.0,2,raise,False
1.0,0.0,3,0.0,0.0,2,raise,True
0.42,0.4,0,66.66666666666667,0.6666666666666666,3,call,True
0.28,0.16666666666666666,0,39.8,0.2,3,call,False
0.26,0.0,0,33.0,0.0,3,call,False
0.44,0.0,1,33.0,0.0,3,call,False
0.24,0.0,1,33.0,0.0,3,call,False
0.62,0.0,1,33.0,0.0,3,raise,True
0.34,0.25,1,22.0,0.3333333333333333,3,call,False
0.18,0.2,1,16.5,0.25,3,fold,False
0.52,0.0,2,16.25,0.0,2,call,False
0.84,0.0,2,16.25,0.0,2,raise,True
0.66,0.25,2,10.833333333333334,0.3333333333333333,2,raise,False
0.82,0.125,2,6.75,0.14285714285714285,2,raise,True
0.62,0.427536231884058,2,1.4636075949367089,0.7468354430379747,2,call,False
0.56,0.0,3,0.41032608695652173,0.0,2,call,False
0.78,0.0,3,0.41032608695652173,0.0,2,raise,True
0.64,0.2253731343283582,3,0.2909441233140655,0.2909441233140655,2,call,False
0.32,0.4,0,66.66666666666667,0.6666666666666666,3,fold,False
0.46,0.25,0,66.33333333333333,0.3333333333333333,2,call,True
0.46,0.0,0,49.5,0.0,2,call,False
0.78,0.0,1,49.5,0.0,2,raise,True
0.7,0.25,1,33.0,0.3333333333333333,2,raise,False
0.76,0.25,1,16.333333333333332,0.3333333333333333,2,raise,True
0.62,0.21428571428571427,1,8.727272727272727,0.2727272727272727,2,call,False
0.8,0.0,2,6.642857142857143,0.0,2,raise,True
0.52,0.25,2,4.428571428571429,0.3333333333333333,2,call,False
0.74,0.0,3,3.0714285714285716,0.0,2,raise,True
0.4,0.25,3,2.0476190476190474,0.3333333333333333,2,call,False
0.34,0.4,0,66.66666666666667,0.6666666666666666,3,fold,False
0.38,0.25,0,66.33333333333333,0.3333333333333333,2,call,False
0.48,0.0,0,49.5,0.0,2,call,True
0.4,0.0,1,49.5,0.0,2,call,False
0.5,0.0,1,49.5,0.0,2,call,True
0.4,0.0,2,49.5,0.0,2,call,False
0.66,0.0,2,49.5,0.0,2,raise,True
0.42,0.3333333333333333,2,24.75,0.5,2,call,False
0.4,0.0,3,16.166666666666668,0.0,2,call,False
0.82,0.0,3,16.166666666666668,0.0,2,raise,True
0.32,0.25,3,10.777777777777779,0.3333333333333333,2,call,False
0.48,0.4,0,66.66666666666667,0.6666666666666666,3,call,False
0.26,0.16666666666666666,0,39.8,0.2,3,call,False
0.6,0.0,0,33.0,0.0,3,call,True
0.28,0.0,1,33.0,0.0,3,call,False
0.78,0.0,1,33.0,0.0,3,raise,True
0.24,0.3333333333333333,1,16.5,0.5,3,fold,False
0.4,0.3333333333333333,1,16.5,0.5,2,call,False
0.46,0.0,2,10.666666666666666,0.0,2,call,False
0.86,0.0,2,10.666666666666666,0.0,2,raise,True
0.38,0.25,2,7.111111111111111,0.3333333333333333,2,call,False
0.58,0.0,3,5.083333333333333,0.0,2,call,False
0.86,0.0,3,5.083333333333333,0.0,2,raise,True
0.44,0.41773308957952465,3,1.4364207221350078,0.717425431711146,2,call,False
0.26,0.4,0,66.66666666666667,0.6666666666666666,3,fold,False
0.54,0.25,0,66.33333333333333,0.3333333333333333,2,call,True
0.3,0.0,0,49.5,0.0,2,call,False
0.86,0.0,1,49.5,0.0,2,raise,True
0.16,0.4900990099009901,1,1.9223300970873787,0.9611650485436893,2,fold,False
0.4,0.4,0,66.66666666666667,0.6666666666666666,3,call,True
0.36,0.16666666666666666,0,39.8,0.2,3,call,False
0.34,0.0,0,33.0,0.0,3,call,False
0.18,0.0,1,33.0,0.0,3,call,False
0.2,0.0,1,33.0,0.0,3,call,False
0.34,0.0,1,33.0,0.0,3,call,True
0.18,0.0,2,33.0,0.0,3,call,False
0.08,0.0,2,33.0,0.0,3,call,False
0.54,0.0,2,33.0,0.0,3,call,True
0.26,0.0,3,33.0,0.0,3,call,False
0.12,0.0,3,33.0,0.0,3,call,False
0.36,0.0,3,33.0,0.0,3,call,True
0.28,0.4,0,66.66666666666667,0.6666666666666666,3,fold,False
0.44,0.25,0,66.33333333333333,0.3333333333333333,2,call,False
0.82,0.0,0,49.5,0.0,2,raise,True
0.48,0.25,0,33.0,0.3333333333333333,2,call,False
0.7,0.0,1,24.5,0.0,2,raise,False
0.68,0.25,1,16.333333333333332,0.3333333333333333,2,raise,True
0.68,0.21428571428571427,1,8.727272727272727,0.2727272727272727,2,raise,False
0.76,0.1111111111111111,1,5.8125,0.125,2,raise,True
0.78,0.23529411764705882,1,3.5,0.3076923076923077,2,raise,False
0.84,0.21666666666666667,1,1.7659574468085106,0.2765957446808511,2,raise,True
0.7,0.21962616822429906,1,0.8383233532934131,0.281437125748503,2,raise,False
0.62,0.018018018018018018,1,0.42660550458715596,0.01834862385321101,2,call,True
0.56,0.0,2,0.4009009009009009,0.0,2,call,False
0.76,0.0,2,0.4009009009009009,0.0,2,raise,True
0.76,0.2225,2,0.2861736334405145,0.2861736334405145,2,raise,False
0.32,0.0,3,0.0,0.0,2,call,False
0.9,0.0,3,0.0,0.0,2,raise,True
0.32,0.4,0,66.66666666666667,0.6666666666666666,3,fold,False
0.64,0.25,0,66.33333333333333,0.3333333333333333,2,call,True
0.46,0.0,0,49.5,0.0,2,call,False
0.6,0.0,1,49.5,0.0,2,call,True
0.24,0.0,1,49.5,0.0,2,call,False
0.48,0.0,2,49.5,0.0,2,call,True
0.14,0.0,2,49.5,0.0,2,call,False
1.0,0.0,3,49.5,0.0,2,raise,True
0.12,0.4900990099009901,3,1.9223300970873787,0.9611650485436893,2,fold,False
0.4,0.4,0,66.66666666666667,0.6666666666666666,3,call,True
0.28,0.16666666666666666,0,39.8,0.2,3,call,False
0.28,0.0,0,33.0,0.0,3,call,False
